provinsi,gmv_transaksi_juta,reported_turnover_spt_juta,tax_paid_final_juta,annual_order_volume,avg_ticket_size_ribu,digital_payment_ratio,logistics_tracking_ratio,customer_return_rate,bps_ecom_penetration_pct,bps_infrastructure_index,target_non_compliance
Jawa Barat,17.66,13.4,0.07,155,113.92,0.7555,0.7441,0.0351,41.29,6.38,1
Jawa Barat,23.82,22.44,0.11,147,162.06,0.7119,0.4049,0.022,42.85,6.31,0
Sumatera Utara,30.01,17.88,0.09,135,222.28,0.4535,0.7082,0.0562,25.57,6.09,1
Jawa Timur,24.23,19.48,0.1,162,149.57,0.6138,0.821,0.0667,40.31,5.86,0
Riau,12.53,6.5,0.03,142,88.23,0.6222,0.7671,0.0475,27.55,6.06,1
Bali,33.99,20.18,0.1,141,241.07,0.8841,0.7438,0.0254,49.52,6.72,0
Jawa Timur,26.85,23.96,0.12,150,179.01,0.9001,0.597,0.0187,38.02,5.89,0
Sumatera Selatan,58.73,34.65,0.17,157,374.07,0.4826,0.7947,0.0513,26.23,5.93,0
Jawa Timur,15.08,13.37,0.07,147,102.59,0.7414,0.3448,0.0087,35.93,6.03,0
DKI Jakarta,26.92,20.59,0.1,163,165.14,0.8185,0.7872,0.0121,63.0,7.72,0
Bali,28.11,23.49,0.12,154,182.54,0.6511,0.5856,0.0442,49.25,6.5,0
Sumatera Utara,19.16,10.81,0.05,146,131.25,0.4362,0.6507,0.0714,27.65,6.23,0
Riau,15.2,10.66,0.05,162,93.82,0.3067,0.8202,0.063,24.76,6.13,0
Jawa Timur,25.83,18.66,0.09,153,168.85,0.5732,0.878,0.0476,36.06,5.92,0
Banten,19.86,19.63,0.1,167,118.9,0.7859,0.8921,0.001,44.69,6.29,0
Bali,24.66,20.38,0.1,166,148.55,0.6204,0.7559,0.001,50.11,6.71,0
Sumatera Utara,24.08,21.58,0.11,161,149.57,0.7811,0.7283,0.0365,26.5,6.03,0
Jawa Barat,14.84,13.02,0.07,166,89.42,0.65,0.8538,0.0753,43.1,6.27,0
Sumatera Utara,19.1,12.64,0.06,161,118.64,0.6911,0.7045,0.0222,28.33,5.93,1
Jawa Barat,20.05,13.79,0.07,167,120.07,0.3845,0.723,0.0572,41.29,6.19,1
Jawa Barat,24.85,16.06,0.08,164,151.5,0.6378,0.8001,0.0462,44.05,6.09,0
Sulawesi Selatan,28.73,19.15,0.1,154,186.58,0.5757,0.8672,0.0285,27.74,6.22,0
Bali,26.37,22.08,0.11,153,172.35,0.7219,0.7092,0.0318,47.33,6.64,0
Bali,38.4,24.98,0.12,167,229.96,0.5541,0.6152,0.0063,48.02,6.48,0
DKI Jakarta,23.77,13.63,0.07,150,158.48,0.4178,0.8237,0.0488,64.34,7.84,1
Sulawesi Selatan,65.46,65.46,0.33,153,427.84,0.6024,0.7494,0.0269,29.37,6.16,0
Jawa Tengah,29.47,15.41,0.08,165,178.58,0.8037,0.76,0.057,33.71,5.82,0
Jawa Barat,13.69,9.91,0.05,172,79.59,0.4949,0.8467,0.0355,46.24,6.05,0
Sumatera Utara,18.8,13.95,0.07,155,121.29,0.537,0.7291,0.0341,30.08,5.78,0
Jawa Timur,127.62,115.43,0.58,150,850.77,0.9016,0.7001,0.001,37.68,6.09,0
Banten,13.18,11.48,0.06,166,79.38,0.7312,0.9129,0.0458,43.07,6.17,0
Bali,32.33,32.01,0.16,173,186.9,0.7391,0.6079,0.0502,50.44,6.59,0
Sumatera Utara,88.35,67.03,0.34,178,496.35,0.7574,0.832,0.0652,27.26,5.83,0
Jawa Tengah,15.98,12.01,0.06,192,83.24,0.7017,0.6299,0.0231,34.32,6.08,0
Sulawesi Selatan,59.18,45.87,0.23,174,340.11,0.4506,0.6314,0.0453,24.23,6.17,0
Sumatera Selatan,60.15,34.35,0.17,177,339.81,0.5595,0.9044,0.048,23.58,5.92,1
Jawa Tengah,21.23,15.13,0.08,165,128.68,0.709,0.9544,0.0145,31.1,5.99,0
DKI Jakarta,10.99,8.28,0.04,170,64.66,0.5025,0.8913,0.0275,63.11,7.71,0
Jawa Barat,35.79,21.96,0.11,177,202.18,0.9207,0.6737,0.0163,41.07,6.05,0
Jawa Tengah,23.09,19.11,0.1,163,141.65,0.6504,0.803,0.0179,33.24,5.66,0
Jawa Barat,21.87,15.41,0.08,162,135.0,0.3569,0.6242,0.0321,44.08,6.25,1
Sulawesi Selatan,33.25,23.85,0.12,159,209.12,0.7364,0.8326,0.0262,26.92,5.89,0
DKI Jakarta,27.42,12.25,0.06,184,149.0,0.5623,0.8455,0.0397,63.06,8.03,1
Sulawesi Selatan,10.96,10.19,0.05,151,72.56,0.678,0.927,0.0525,28.23,5.88,0
Sumatera Selatan,20.7,15.88,0.08,148,139.87,0.6039,0.6214,0.0518,24.25,6.0,0
DKI Jakarta,30.45,15.67,0.08,171,178.08,0.3995,0.6964,0.0557,65.56,7.88,0
Banten,29.91,24.56,0.12,157,190.53,0.6967,0.8213,0.0347,43.09,6.22,0
DKI Jakarta,52.21,40.42,0.2,180,290.05,0.4616,0.7053,0.0297,64.35,7.68,0
Jawa Tengah,9.01,8.03,0.04,142,63.42,0.8806,0.6957,0.0154,33.59,5.83,0
Jawa Tengah,44.86,32.97,0.16,179,250.6,0.4541,0.7518,0.054,30.82,6.28,0
Riau,18.91,18.91,0.09,154,122.82,0.629,0.9143,0.0595,26.28,6.04,0
Jawa Barat,25.04,18.33,0.09,154,162.6,0.5689,0.7061,0.0651,43.25,6.01,0
Sumatera Selatan,42.48,33.89,0.17,183,232.14,0.6489,0.5175,0.0463,23.58,5.94,0
Sumatera Selatan,15.75,11.91,0.06,153,102.97,0.5113,0.6919,0.0307,26.98,5.75,0
Sulawesi Selatan,19.26,13.18,0.07,157,122.68,0.5236,0.7047,0.0183,29.83,6.0,0
Sumatera Utara,33.17,24.27,0.12,168,197.45,0.6122,0.649,0.0132,27.27,5.99,0
Jawa Timur,16.35,12.47,0.06,147,111.19,0.6439,0.61,0.001,37.8,6.02,0
Sumatera Selatan,28.52,13.5,0.07,163,174.95,0.7482,0.7158,0.0606,25.44,5.81,0
Riau,15.29,9.51,0.05,171,89.41,0.4782,0.8284,0.0476,26.37,5.99,0
Jawa Tengah,45.77,31.9,0.16,164,279.06,0.5448,0.741,0.0867,31.55,5.99,0
Jawa Tengah,34.45,25.94,0.13,158,218.05,0.8013,0.8322,0.0376,31.77,5.89,0
Riau,14.58,13.04,0.07,142,102.65,0.9066,0.7732,0.0411,26.94,6.07,0
Bali,40.24,28.49,0.14,154,261.28,0.5832,0.7228,0.0472,49.5,6.37,1
Sumatera Utara,24.91,14.06,0.07,136,183.15,0.5734,0.7135,0.052,27.98,6.11,0
Sulawesi Selatan,18.66,12.33,0.06,198,94.25,0.5656,0.8223,0.0265,29.87,5.95,1
Sumatera Utara,38.06,14.94,0.07,181,210.28,0.3776,0.6148,0.0392,30.65,6.07,0
Riau,28.78,26.44,0.13,135,213.2,0.5951,0.7108,0.0554,28.37,5.85,0
Jawa Timur,10.28,7.6,0.04,142,72.4,0.7031,0.5423,0.0718,39.08,5.99,0
Riau,7.39,5.82,0.03,138,53.53,0.7212,0.5337,0.0217,26.13,6.09,1
DKI Jakarta,19.14,14.25,0.07,158,121.16,0.8387,0.7611,0.0439,61.54,7.7,0
Riau,16.7,10.44,0.05,161,103.73,0.6147,0.6266,0.0418,25.67,5.96,0
Banten,34.54,27.29,0.14,169,204.4,0.3964,0.6275,0.0345,43.95,6.52,1
Sumatera Utara,17.15,12.74,0.06,160,107.16,0.5932,0.8056,0.0602,27.47,5.95,1
Sulawesi Selatan,17.22,15.04,0.08,156,110.38,0.81,0.7459,0.0856,27.33,6.12,0
Banten,62.18,34.93,0.17,160,388.65,0.2385,0.6988,0.0473,42.39,6.51,1
Riau,50.34,36.64,0.18,176,286.01,0.5607,0.7255,0.0244,27.22,5.97,0
Sumatera Selatan,10.38,8.58,0.04,140,74.16,0.4996,0.5118,0.0115,26.76,5.97,1
Jawa Barat,47.84,31.54,0.16,159,300.89,0.4391,0.8277,0.0385,46.95,6.1,0
Sulawesi Selatan,47.89,29.53,0.15,141,339.63,0.6133,0.701,0.0589,28.27,6.09,1
Sumatera Utara,21.12,15.14,0.08,153,138.02,0.5933,0.7926,0.0358,28.15,5.93,0
Sumatera Selatan,20.04,12.99,0.06,164,122.22,0.6474,0.667,0.0452,24.26,5.87,1
Jawa Barat,9.36,7.25,0.04,145,64.56,0.7769,0.756,0.0791,45.42,6.16,0
Jawa Timur,13.59,10.52,0.05,170,79.93,0.591,0.7627,0.053,38.87,5.96,0
Sulawesi Selatan,22.14,13.13,0.07,158,140.11,0.5829,0.7176,0.0411,27.54,6.06,0
Sumatera Utara,20.02,13.09,0.07,170,117.77,0.608,0.589,0.0131,30.22,5.94,0
DKI Jakarta,20.03,16.09,0.08,160,125.16,0.532,0.5798,0.0561,63.78,7.66,0
Sumatera Utara,25.56,21.13,0.11,144,177.53,0.6459,0.8267,0.0512,27.31,6.13,0
Bali,61.16,41.81,0.21,160,382.23,0.6652,0.5791,0.0565,48.51,6.55,0
DKI Jakarta,17.71,14.03,0.07,159,111.41,0.5877,0.9134,0.0149,66.09,7.67,0
Jawa Barat,19.4,12.14,0.06,174,111.5,0.59,0.8835,0.0394,44.46,6.05,0
Banten,22.32,14.16,0.07,161,138.64,0.5201,0.8428,0.0516,43.36,6.32,0
Banten,19.92,14.56,0.07,153,130.22,0.7944,0.7866,0.0107,45.53,6.26,0
Jawa Barat,51.51,37.37,0.19,141,365.32,0.5227,0.7604,0.0426,44.45,6.24,0
Jawa Barat,16.8,11.55,0.06,125,134.43,0.4288,0.8355,0.0617,42.92,6.1,1
Sumatera Utara,39.2,28.54,0.14,165,237.6,0.7507,0.6922,0.0272,27.29,5.91,0
Sumatera Utara,92.85,67.58,0.34,153,606.86,0.8537,0.6325,0.0612,26.74,6.02,0
DKI Jakarta,57.99,24.78,0.12,155,374.14,0.4237,0.626,0.0405,61.07,7.56,1
Sumatera Selatan,21.26,17.67,0.09,157,135.41,0.3222,0.7247,0.0419,23.34,5.78,0
Jawa Timur,18.65,13.05,0.07,158,118.06,0.4905,0.7773,0.0597,36.58,6.12,0
Sulawesi Selatan,16.89,9.16,0.05,179,94.38,0.5985,0.7282,0.0263,29.79,5.88,0
Sulawesi Selatan,25.28,14.76,0.07,162,156.07,0.6156,0.7741,0.0141,29.14,5.99,0
Riau,11.21,9.26,0.05,154,72.79,0.7238,0.8143,0.0347,26.44,6.33,0
DKI Jakarta,73.56,53.94,0.27,148,497.03,0.4962,0.7216,0.0466,60.73,7.76,0
Jawa Barat,19.0,14.65,0.07,167,113.78,0.6365,0.8001,0.047,43.82,6.09,0
Jawa Tengah,22.81,13.14,0.07,151,151.07,0.6818,0.5459,0.0463,30.73,5.62,0
Banten,23.3,21.04,0.11,137,170.04,0.7787,0.7309,0.0251,45.43,6.4,0
Jawa Timur,13.43,9.89,0.05,158,84.99,0.6205,0.7063,0.0495,38.2,5.87,1
Sumatera Selatan,39.94,30.32,0.15,160,249.64,0.3089,0.8257,0.0379,24.4,5.95,0
Sumatera Utara,34.16,33.6,0.17,181,188.73,0.6246,0.804,0.0705,29.64,5.96,0
Jawa Tengah,19.57,14.93,0.07,151,129.6,0.4628,0.8697,0.0578,34.72,5.89,0
Sulawesi Selatan,28.43,19.11,0.1,158,179.93,0.42,0.7759,0.0504,28.06,6.18,0
Bali,21.63,13.82,0.07,152,142.33,0.5937,0.7197,0.0364,48.52,6.68,1
Riau,22.69,14.02,0.07,154,147.34,0.6031,0.6858,0.0329,24.16,5.91,0
Jawa Tengah,18.07,12.49,0.06,168,107.57,0.7039,0.5604,0.0355,32.67,5.87,0
Bali,26.33,19.26,0.1,167,157.65,0.471,0.8959,0.0455,47.25,6.72,0
Sumatera Selatan,33.83,20.6,0.1,184,183.85,0.6241,0.7542,0.0596,22.81,5.7,0
Jawa Barat,16.94,11.11,0.06,169,100.23,0.6138,0.6154,0.0107,42.28,6.35,1
Jawa Barat,30.03,24.76,0.12,175,171.63,0.7865,0.6543,0.03,40.44,6.17,0
Jawa Tengah,11.04,7.06,0.04,173,63.83,0.5599,0.8581,0.0649,34.67,5.93,0
Riau,46.17,24.59,0.12,162,285.02,0.3169,0.715,0.0286,26.48,6.03,0
Bali,13.14,6.13,0.03,156,84.22,0.5616,0.6162,0.0231,50.48,6.61,1
Jawa Barat,11.84,8.54,0.04,172,68.86,0.5853,0.6422,0.0614,44.58,6.04,0
DKI Jakarta,18.86,14.59,0.07,162,116.39,0.7942,0.7632,0.05,64.29,7.92,0
Riau,26.67,20.55,0.1,160,166.68,0.8528,0.758,0.0444,27.34,6.29,0
Banten,22.74,16.56,0.08,177,128.49,0.4959,0.7331,0.0522,44.35,6.64,1
DKI Jakarta,33.76,27.93,0.14,149,226.59,0.5254,0.5368,0.0343,65.5,7.52,0
Banten,18.93,14.84,0.07,143,132.37,0.6116,0.6596,0.0407,43.36,6.42,0
DKI Jakarta,19.98,14.31,0.07,148,135.03,0.7715,0.6977,0.0419,63.51,7.78,0
Sulawesi Selatan,21.66,16.09,0.08,155,139.75,0.7391,0.5647,0.0335,27.48,5.93,1
Bali,58.5,44.36,0.22,157,372.59,0.8033,0.7756,0.0334,51.77,6.64,0
Banten,16.29,11.93,0.06,133,122.52,0.3421,0.8279,0.0224,43.17,6.21,0
Bali,97.54,53.95,0.27,165,591.12,0.5016,0.7744,0.03,50.67,6.78,0
Sulawesi Selatan,74.91,58.74,0.29,171,438.08,0.6801,0.7697,0.0312,25.85,5.83,0
DKI Jakarta,12.84,8.46,0.04,148,86.73,0.5515,0.7902,0.0026,63.69,7.76,0
Sumatera Utara,43.31,41.7,0.21,177,244.67,0.7396,0.785,0.052,28.14,6.13,0
Jawa Tengah,17.82,16.81,0.08,159,112.06,0.6976,0.7465,0.0453,31.67,5.79,0
Jawa Tengah,27.34,20.18,0.1,168,162.76,0.6295,0.7149,0.0697,32.2,6.02,0
Riau,11.51,9.26,0.05,157,73.3,0.5667,0.5733,0.0136,26.9,5.85,0
Jawa Barat,20.01,11.42,0.06,138,144.97,0.7795,0.7989,0.0197,42.88,6.15,0
Sulawesi Selatan,109.75,84.65,0.42,157,699.04,0.4786,0.7439,0.0587,26.45,5.81,0
Banten,16.59,12.37,0.06,159,104.36,0.367,0.6008,0.0158,45.47,6.29,0
Bali,37.21,31.5,0.16,165,225.49,0.7987,0.73,0.039,48.71,6.54,0
DKI Jakarta,24.05,15.97,0.08,147,163.58,0.8378,0.7883,0.0351,64.04,7.66,0
Sumatera Selatan,18.15,14.02,0.07,153,118.61,0.5063,0.8297,0.0706,25.96,6.03,0
Jawa Timur,48.8,30.18,0.15,167,292.2,0.6842,0.53,0.0389,39.17,5.82,1
Sumatera Selatan,18.92,12.12,0.06,154,122.86,0.7017,0.6759,0.0389,20.89,5.69,0
Sumatera Utara,25.83,20.91,0.1,171,151.07,0.5259,0.6114,0.0444,28.25,5.99,0
Sumatera Utara,29.54,19.89,0.1,170,173.79,0.6105,0.8591,0.0227,25.89,6.05,0
Sumatera Utara,49.85,38.42,0.19,170,293.25,0.5656,0.5067,0.0298,32.5,6.1,0
Banten,17.93,9.4,0.05,141,127.14,0.7104,0.6471,0.018,44.35,6.52,0
Banten,76.28,62.71,0.31,145,526.08,0.5876,0.9303,0.0529,45.58,6.12,0
Sulawesi Selatan,10.97,7.83,0.04,159,69.0,0.4823,0.8928,0.0538,26.96,6.21,0
Sulawesi Selatan,16.9,13.42,0.07,147,114.99,0.4695,0.6177,0.0231,27.37,5.91,0
Sumatera Utara,45.57,31.71,0.16,154,295.9,0.4022,0.9017,0.0348,30.06,6.01,0
Jawa Barat,18.55,14.1,0.07,159,116.67,0.5771,0.834,0.0432,44.15,6.15,0
DKI Jakarta,28.21,18.63,0.09,168,167.95,0.6961,0.4602,0.0123,66.06,7.47,0
Sulawesi Selatan,16.06,10.52,0.05,165,97.32,0.5755,0.5821,0.0507,26.65,5.96,1
Jawa Barat,14.23,11.39,0.06,178,79.96,0.5172,0.8507,0.0186,43.05,6.27,0
Riau,19.96,9.26,0.05,167,119.49,0.542,0.5659,0.0061,26.92,6.15,1
Sumatera Selatan,33.25,24.02,0.12,146,227.72,0.3791,0.7119,0.0412,25.32,5.82,0
Bali,18.69,15.39,0.08,163,114.67,0.6799,0.5838,0.0521,49.37,6.63,0
Jawa Timur,24.55,10.42,0.05,167,147.03,0.2228,0.8455,0.058,34.87,6.02,1
Riau,18.05,14.14,0.07,150,120.31,0.5146,0.7953,0.0492,24.74,6.04,0
Banten,38.51,32.79,0.16,176,218.79,0.7831,0.8102,0.0263,44.63,6.44,0
Jawa Tengah,12.1,8.4,0.04,163,74.24,0.4919,0.7443,0.077,30.89,5.76,0
Sumatera Selatan,24.13,22.37,0.11,166,145.37,0.6844,0.7507,0.0413,22.99,5.77,0
Sumatera Selatan,23.17,14.28,0.07,179,129.45,0.4849,0.7561,0.0215,24.38,5.84,0
Sumatera Utara,16.43,13.91,0.07,165,99.58,0.7304,0.8085,0.0593,27.25,5.75,0
Bali,49.67,45.06,0.23,170,292.19,0.6162,0.867,0.0458,49.08,6.68,0
Riau,10.36,7.41,0.04,147,70.47,0.5602,0.6356,0.0806,26.02,6.08,0
Sumatera Selatan,30.9,24.09,0.12,167,185.05,0.7212,0.782,0.0709,23.14,5.85,0
Sumatera Selatan,28.14,19.21,0.1,145,194.09,0.5104,0.6689,0.0321,23.17,5.98,1
Bali,19.0,12.58,0.06,150,126.69,0.773,0.791,0.0156,50.66,6.65,0
Riau,63.19,44.02,0.22,144,438.8,0.4251,0.6687,0.03,26.73,6.2,0
DKI Jakarta,34.32,14.79,0.07,179,191.75,0.4459,0.7711,0.001,63.91,7.92,1
Sulawesi Selatan,16.41,13.38,0.07,151,108.69,0.671,0.7747,0.0407,27.98,6.05,0
Sulawesi Selatan,31.04,23.27,0.12,147,211.13,0.3631,0.8622,0.0596,26.54,5.92,1
Sumatera Selatan,22.32,14.21,0.07,183,121.99,0.5502,0.8749,0.0405,23.47,5.97,1
Sulawesi Selatan,18.77,12.57,0.06,149,125.94,0.5226,0.7444,0.0496,24.3,5.92,0
Jawa Tengah,46.44,31.59,0.16,167,278.08,0.3576,0.5544,0.0554,32.25,5.77,0
Bali,38.41,33.7,0.17,189,203.22,0.4601,0.5375,0.0699,47.81,6.56,0
Jawa Barat,43.51,26.61,0.13,161,270.24,0.5375,0.812,0.0433,44.2,6.29,0
Riau,8.43,3.34,0.02,156,54.01,0.4861,0.8889,0.0356,25.25,6.16,1
Sumatera Utara,23.82,17.36,0.09,129,184.65,0.6359,0.7429,0.0286,29.59,6.15,0
Bali,57.82,45.44,0.23,167,346.21,0.7936,0.5617,0.0721,48.35,6.61,0
Sumatera Utara,15.1,9.12,0.05,166,90.95,0.669,0.5498,0.0282,28.63,6.11,0
Riau,23.74,12.88,0.06,141,168.36,0.5584,0.4298,0.077,26.1,6.14,0
Jawa Timur,22.24,12.36,0.06,161,138.15,0.3995,0.8292,0.0334,37.9,5.88,1
Banten,37.48,31.7,0.16,167,224.46,0.8115,0.9449,0.0233,45.93,6.45,0
Jawa Timur,17.77,12.39,0.06,150,118.45,0.5022,0.6651,0.0486,35.37,5.96,0
Sulawesi Selatan,36.02,25.74,0.13,154,233.91,0.3482,0.9318,0.0449,30.54,5.96,1
Sumatera Utara,20.92,18.63,0.09,156,134.12,0.819,0.7736,0.0068,27.12,6.0,0
Jawa Tengah,115.6,95.14,0.48,168,688.07,0.6887,0.7151,0.054,32.92,5.79,0
DKI Jakarta,29.67,11.26,0.06,159,186.58,0.4747,0.7712,0.0032,62.75,7.7,1
Bali,87.21,69.53,0.35,162,538.34,0.6576,0.7157,0.0763,51.0,6.6,0
Riau,33.83,27.28,0.14,156,216.85,0.5124,0.7737,0.0116,24.56,6.15,0
Banten,21.6,11.23,0.06,168,128.57,0.5032,0.6495,0.0459,45.2,6.56,1
Jawa Tengah,25.66,16.35,0.08,162,158.37,0.8025,0.5473,0.0508,29.89,5.93,0
Jawa Tengah,32.92,29.65,0.15,174,189.17,0.9833,0.7263,0.0593,34.42,5.87,0
Riau,9.6,7.9,0.04,166,57.83,0.6432,0.8145,0.0113,25.86,5.83,0
Sumatera Utara,36.97,18.28,0.09,144,256.74,0.2188,0.8467,0.0504,27.85,6.33,1
Sumatera Utara,28.9,23.12,0.12,171,169.01,0.8923,0.8176,0.0186,27.37,5.96,0
Riau,34.53,24.76,0.12,168,205.52,0.6557,0.7782,0.045,26.05,5.99,0
Sulawesi Selatan,36.52,25.85,0.13,171,213.57,0.6024,0.5684,0.0013,27.37,6.16,1
Jawa Barat,14.68,9.74,0.05,173,84.84,0.6241,0.694,0.0505,41.14,6.02,0
Riau,25.93,18.39,0.09,160,162.07,0.7,0.8032,0.0661,24.97,6.11,0
Sumatera Selatan,24.27,19.59,0.1,156,155.59,0.6504,0.8023,0.0343,25.52,5.82,0
Banten,14.98,13.15,0.07,173,86.6,0.3836,0.678,0.0419,43.52,6.35,0
Jawa Timur,52.33,46.99,0.23,156,335.48,0.6969,0.9163,0.0524,35.66,5.97,0
Sumatera Utara,64.12,47.86,0.24,151,424.67,0.4624,0.7038,0.0468,28.48,5.9,0
Sumatera Selatan,17.79,10.76,0.05,139,127.96,0.6476,0.5841,0.008,25.05,5.87,0
Jawa Timur,31.2,12.74,0.06,155,201.32,0.5386,0.6193,0.0156,37.83,6.08,1
Jawa Barat,22.82,19.61,0.1,152,150.13,0.5195,0.6831,0.0319,43.89,6.14,1
DKI Jakarta,20.3,10.58,0.05,157,129.29,0.6173,0.8888,0.0423,65.35,8.15,0
DKI Jakarta,19.83,17.52,0.09,160,123.94,0.5881,0.7855,0.0305,63.61,7.74,0
Sulawesi Selatan,13.36,8.21,0.04,156,85.63,0.533,0.8266,0.0419,27.55,5.87,1
Jawa Barat,31.0,25.46,0.13,167,185.61,0.6997,0.593,0.0602,44.69,6.09,0
Riau,16.38,15.18,0.08,145,112.99,0.4562,0.7831,0.0328,25.09,5.84,1
Jawa Barat,37.53,31.48,0.16,179,209.65,0.7944,0.8556,0.0179,42.77,6.28,0
Sumatera Utara,21.7,15.1,0.08,176,123.29,0.4444,0.7665,0.05,26.02,6.23,1
Sumatera Selatan,14.4,9.24,0.05,163,88.33,0.461,0.4676,0.0645,27.04,5.98,0
Jawa Barat,18.44,11.59,0.06,168,109.77,0.7729,0.6293,0.0457,46.51,6.05,1
Banten,31.13,19.28,0.1,170,183.09,0.4394,0.6571,0.0307,43.86,6.28,1
Banten,18.89,13.86,0.07,147,128.51,0.8275,0.6824,0.0365,45.27,6.47,0
Sumatera Selatan,17.16,10.02,0.05,175,98.05,0.6085,0.7271,0.0304,25.37,5.82,1
Sumatera Utara,55.93,50.25,0.25,156,358.52,0.6309,0.7923,0.0458,28.69,5.94,0
Sumatera Selatan,14.78,9.57,0.05,182,81.19,0.7009,0.9075,0.001,26.14,5.76,0
Sumatera Utara,44.15,20.06,0.1,146,302.42,0.5238,0.6025,0.0419,26.51,6.26,1
Jawa Tengah,45.02,31.9,0.16,164,274.49,0.4725,0.8292,0.0365,32.92,5.8,0
Sumatera Utara,40.93,23.7,0.12,170,240.77,0.5831,0.7099,0.058,25.28,6.14,1
Sulawesi Selatan,34.07,30.86,0.15,151,225.64,0.841,0.6187,0.0116,26.38,6.08,0
Banten,15.31,7.89,0.04,146,104.85,0.3327,0.656,0.017,41.68,6.28,0
Sumatera Selatan,17.3,14.15,0.07,149,116.09,0.5638,0.7936,0.0471,21.56,5.88,0
Riau,65.83,50.27,0.25,154,427.44,0.5694,0.9897,0.066,25.41,5.95,0
DKI Jakarta,43.88,43.88,0.22,166,264.36,0.8869,0.7149,0.0371,64.09,7.9,0
DKI Jakarta,31.27,21.08,0.11,159,196.65,0.654,0.7288,0.0354,62.54,7.62,1
Sumatera Utara,17.43,11.62,0.06,151,115.44,0.6655,0.6128,0.0243,27.59,6.08,0
Jawa Barat,14.57,10.59,0.05,146,99.82,0.7171,0.7955,0.0408,42.28,6.09,0
Banten,14.6,6.35,0.03,165,88.46,0.4674,0.8013,0.0207,44.33,6.27,1
Banten,17.34,11.0,0.06,159,109.06,0.5089,0.7151,0.0134,43.21,6.51,0
Banten,20.85,12.15,0.06,156,133.65,0.7118,0.8684,0.0508,42.61,6.32,0
Sumatera Selatan,26.92,19.74,0.1,162,166.19,0.6892,0.6223,0.0226,25.72,5.66,0
Jawa Timur,45.8,41.52,0.21,159,288.06,0.7002,0.6778,0.0533,35.54,6.01,0
Jawa Barat,70.95,52.66,0.26,146,485.96,0.99,0.7083,0.0387,41.47,6.07,0
Banten,52.44,35.79,0.18,154,340.55,0.7352,0.8084,0.0596,45.23,6.4,0
Bali,12.83,10.04,0.05,151,84.98,0.6499,0.8655,0.0183,46.21,6.7,0
Jawa Timur,16.67,14.36,0.07,157,106.2,0.4815,0.8642,0.0559,38.69,6.0,0
Sumatera Selatan,15.75,9.07,0.05,162,97.2,0.5705,0.7384,0.0402,22.78,5.99,1
Banten,49.11,37.91,0.19,180,272.86,0.5911,0.5169,0.0104,44.24,6.22,0
Jawa Barat,33.81,25.41,0.13,146,231.61,0.6769,0.7033,0.0256,41.89,6.29,0
Sumatera Utara,20.76,20.63,0.1,171,121.38,0.8114,0.8222,0.0262,28.43,6.0,0
Banten,22.86,13.9,0.07,156,146.54,0.4551,0.738,0.0479,43.34,6.21,0
Sumatera Selatan,26.94,13.38,0.07,155,173.79,0.3289,0.6661,0.0209,22.85,5.59,1
Riau,35.76,31.27,0.16,173,206.7,0.5345,0.5013,0.0153,23.74,6.03,0
Jawa Barat,42.68,28.17,0.14,142,300.53,0.5765,0.7578,0.0319,42.57,6.06,0
DKI Jakarta,29.45,14.61,0.07,170,173.23,0.4739,0.8377,0.0585,64.25,7.64,1
Jawa Barat,23.62,18.98,0.09,168,140.62,0.7658,0.7962,0.0425,44.39,6.19,0
Riau,34.69,26.9,0.13,180,192.72,0.5337,0.6219,0.0342,25.07,6.28,0
Banten,22.49,19.02,0.1,160,140.57,0.6589,0.5851,0.0517,43.05,6.27,1
Jawa Timur,28.17,15.68,0.08,147,191.66,0.5197,0.6957,0.0205,36.59,5.97,1
Banten,21.48,17.89,0.09,151,142.24,0.5222,0.7235,0.0758,44.12,6.31,0
DKI Jakarta,45.43,38.93,0.19,155,293.07,0.6167,0.8251,0.0732,63.54,7.61,1
Sumatera Utara,46.69,44.95,0.22,152,307.2,0.6889,0.7668,0.0305,27.76,5.92,0
Jawa Barat,22.63,16.02,0.08,160,141.44,0.7678,0.7992,0.0417,42.83,6.35,0
Riau,73.11,49.8,0.25,152,480.98,0.6193,0.6075,0.0376,25.72,6.07,1
Jawa Barat,27.16,21.0,0.1,157,172.99,0.8007,0.6575,0.0293,39.76,6.13,0
Jawa Tengah,29.62,22.83,0.11,153,193.62,0.7639,0.7456,0.0581,32.59,5.78,0
Sulawesi Selatan,54.99,39.01,0.2,164,335.3,0.6013,0.6236,0.0105,29.07,6.02,0
Riau,82.44,37.49,0.19,177,465.74,0.4559,0.5159,0.0323,28.24,5.99,1
Bali,46.75,31.37,0.16,161,290.36,0.5211,0.6118,0.0499,50.5,6.83,1
Banten,30.81,21.94,0.11,167,184.47,0.4362,0.7937,0.0708,44.26,6.41,0
Sumatera Selatan,20.94,13.95,0.07,162,129.29,0.5388,0.5181,0.0669,22.54,5.9,1
Banten,33.16,25.34,0.13,181,183.19,0.705,0.6102,0.0259,43.3,6.39,0
Riau,33.99,15.22,0.08,160,212.47,0.5045,0.732,0.0239,25.01,6.23,1
Sumatera Utara,33.01,28.29,0.14,171,193.04,0.8298,0.826,0.0312,26.3,6.04,0
DKI Jakarta,22.81,16.51,0.08,164,139.06,0.7021,0.7629,0.0682,62.13,7.67,0
