provinsi,gmv_transaksi_juta,volume_transaksi_tahunan,proporsi_e_commerce_pct,infrastruktur_digital_score,rasio_pembayaran_digital,frekuensi_pengiriman_logistik,omset_dilaporkan_spt_juta,pajak_disetor_juta,target_compliance_risk
Sumatera Utara,25.76,120,41.76,57.25,0.807,120,19.11,0.1,0
Sumatera Selatan,167.28,131,27.73,77.63,0.878,112,100.25,0.5,0
Sumatera Utara,18.58,139,47.63,98.22,0.614,142,13.02,0.07,0
Riau,171.35,119,51.54,63.17,0.411,119,88.57,0.44,1
Sumatera Utara,34.63,126,46.9,85.81,0.753,110,30.61,0.15,0
Riau,96.18,132,36.89,57.94,0.889,117,87.44,0.44,0
Riau,57.98,120,29.78,95.67,0.949,111,32.18,0.16,0
Jawa Timur,109.82,116,68.87,50.02,0.639,116,84.4,0.42,0
Jawa Tengah,86.28,142,23.1,64.44,0.862,154,50.49,0.25,0
Sumatera Selatan,28.43,139,45.57,97.85,0.709,152,29.43,0.15,0
Jawa Timur,26.98,125,38.99,82.86,0.762,125,16.03,0.08,0
Sumatera Utara,18.93,118,34.25,60.38,0.496,109,18.2,0.09,0
Jawa Barat,120.8,120,37.22,88.78,0.617,98,103.31,0.52,0
Banten,22.87,137,28.88,94.01,0.593,133,23.5,0.12,0
Sumatera Utara,71.7,140,40.12,73.88,0.6,132,62.21,0.31,0
Riau,67.67,136,38.8,57.65,0.386,136,53.86,0.27,0
Sumatera Utara,76.27,133,67.13,62.67,0.816,144,53.34,0.27,0
Jawa Timur,133.05,132,47.85,96.21,0.83,112,93.96,0.47,1
Sulawesi Selatan,50.46,137,41.19,57.89,0.898,124,20.23,0.1,0
Sumatera Utara,82.69,131,41.91,65.28,0.847,127,86.66,0.43,0
Bali,719.67,130,57.07,57.13,0.565,117,553.4,2.77,1
Sumatera Selatan,286.35,139,23.35,55.17,0.755,118,223.79,1.12,0
Sumatera Utara,394.8,129,32.81,75.58,0.601,126,204.22,1.02,1
Bali,92.75,120,12.11,69.44,0.911,97,63.15,0.32,0
Jawa Barat,52.78,128,41.71,52.26,0.92,116,28.63,0.14,0
Sulawesi Selatan,117.68,131,45.18,57.11,0.5,143,63.81,0.32,1
Bali,79.17,112,23.05,51.85,0.504,105,59.85,0.3,0
Sumatera Utara,310.33,151,52.22,51.2,0.685,125,172.73,0.86,1
Sumatera Selatan,340.32,160,26.37,58.75,0.918,168,283.58,1.42,0
Sumatera Utara,155.24,116,30.89,86.44,0.811,99,100.1,0.5,0
Jawa Tengah,112.02,149,36.43,50.72,0.882,130,72.24,0.36,0
Sumatera Selatan,91.13,142,54.13,64.92,0.696,154,78.05,0.39,0
Jawa Tengah,131.51,140,24.7,77.67,0.611,144,109.93,0.55,0
Jawa Timur,35.59,120,38.49,86.44,0.828,107,23.57,0.12,0
Sumatera Utara,369.28,139,44.3,83.22,0.678,138,370.97,1.85,0
Bali,64.78,122,41.82,98.43,0.415,115,39.74,0.2,0
Jawa Timur,61.62,143,42.26,63.51,0.823,152,53.42,0.27,0
Banten,522.12,144,44.14,50.01,0.488,139,478.21,2.39,0
DKI Jakarta,399.93,132,28.34,51.87,0.795,131,216.71,1.08,0
Jawa Barat,213.43,116,55.25,54.78,0.389,97,151.16,0.76,0
DKI Jakarta,42.51,136,33.67,97.79,0.817,118,17.58,0.09,1
DKI Jakarta,164.29,137,32.07,77.93,0.915,110,100.97,0.5,0
Bali,163.8,166,51.17,89.17,0.666,162,94.26,0.47,0
Bali,37.46,143,27.43,98.27,0.617,138,33.77,0.17,0
Bali,31.04,125,38.84,91.37,0.744,111,16.87,0.08,0
DKI Jakarta,39.36,127,26.33,69.97,0.654,110,16.39,0.08,1
DKI Jakarta,134.73,125,65.23,92.92,0.784,116,55.96,0.28,1
Jawa Tengah,31.71,146,62.7,71.25,0.949,121,28.43,0.14,0
Sumatera Utara,42.61,130,33.68,55.58,0.709,137,21.02,0.11,0
Jawa Timur,85.22,133,41.24,76.86,0.395,139,69.76,0.35,0
Banten,110.34,126,35.06,94.87,0.75,123,58.59,0.29,0
Jawa Barat,186.43,122,30.82,88.44,0.497,130,101.43,0.51,0
Sumatera Selatan,41.74,117,36.44,69.69,0.569,115,38.58,0.19,0
Jawa Timur,439.67,125,34.51,91.89,0.629,118,370.79,1.85,1
DKI Jakarta,61.17,157,16.75,72.74,0.924,153,50.49,0.25,0
Sumatera Selatan,206.71,128,38.16,83.54,0.752,105,207.46,1.04,0
Sulawesi Selatan,15.05,116,34.49,66.32,0.776,100,14.53,0.07,0
DKI Jakarta,105.53,145,38.75,59.54,0.847,140,100.3,0.5,0
Banten,62.67,122,34.07,65.36,0.642,101,30.61,0.15,1
Bali,249.49,138,30.68,92.88,0.668,143,126.71,0.63,1
Sumatera Selatan,349.74,106,45.5,98.5,0.469,90,363.15,1.82,0
Bali,174.28,144,41.4,62.93,0.767,133,135.03,0.68,0
Banten,843.67,118,51.75,58.1,0.825,111,638.75,3.19,1
Jawa Timur,28.03,151,40.94,53.48,0.46,127,20.42,0.1,0
Sumatera Selatan,152.62,109,32.63,86.94,0.805,95,134.04,0.67,0
Jawa Barat,83.72,138,42.4,75.87,0.636,130,65.85,0.33,0
Jawa Tengah,139.29,148,11.23,77.25,0.485,123,69.28,0.35,1
Riau,47.12,127,60.24,52.22,0.716,108,21.99,0.11,1
Riau,238.56,127,38.29,53.97,0.735,102,142.38,0.71,0
Jawa Barat,224.31,142,61.21,94.82,0.721,135,216.58,1.08,0
Sumatera Utara,77.46,140,24.57,78.26,0.931,146,51.24,0.26,0
Jawa Timur,42.19,134,21.59,60.74,0.509,139,40.79,0.2,0
Sumatera Utara,124.43,133,39.39,60.17,0.458,120,96.1,0.48,0
Sulawesi Selatan,147.07,119,39.35,61.8,0.546,119,147.69,0.74,0
DKI Jakarta,149.86,126,39.06,53.12,0.884,138,146.1,0.73,0
Sulawesi Selatan,141.27,121,37.23,52.44,0.946,112,91.03,0.46,0
Banten,38.59,138,27.46,85.28,0.381,148,29.26,0.15,0
Sumatera Selatan,146.24,140,17.18,62.92,0.856,144,125.96,0.63,0
Banten,101.68,137,38.4,68.84,0.653,116,43.69,0.22,0
Jawa Timur,340.99,135,19.61,76.33,0.485,125,171.84,0.86,1
Sumatera Selatan,10.17,107,18.48,65.68,0.937,115,8.9,0.04,0
Riau,28.79,114,30.43,73.46,0.82,96,28.63,0.14,0
Jawa Barat,98.52,127,40.17,92.39,0.853,103,58.85,0.29,0
Sumatera Selatan,143.71,117,58.85,61.96,0.825,102,94.29,0.47,0
Sumatera Selatan,120.24,131,46.75,88.77,0.904,104,116.44,0.58,0
Jawa Timur,194.98,151,52.2,62.93,0.561,126,111.72,0.56,1
Sulawesi Selatan,52.98,138,42.84,59.16,0.754,128,53.08,0.27,0
Riau,83.72,143,39.4,53.56,0.549,147,41.16,0.21,1
Jawa Timur,97.31,141,65.07,83.53,0.589,121,54.87,0.27,0
DKI Jakarta,187.48,132,19.13,70.17,0.695,139,79.31,0.4,1
Riau,385.93,134,30.04,87.75,0.585,146,177.82,0.89,1
Jawa Tengah,174.33,122,30.98,56.5,0.597,114,98.64,0.49,0
Sumatera Selatan,17.38,127,45.72,79.56,0.296,139,14.35,0.07,0
Sumatera Utara,92.76,129,23.25,50.64,0.393,125,49.21,0.25,1
Banten,130.3,134,44.16,61.46,0.497,109,131.67,0.66,0
Jawa Barat,27.72,134,41.96,79.87,0.342,111,17.37,0.09,0
Sumatera Selatan,41.89,138,44.76,52.75,0.472,131,30.88,0.15,0
Jawa Barat,134.38,139,44.54,68.48,0.777,149,111.83,0.56,0
Banten,97.65,139,53.46,77.52,0.884,115,47.71,0.24,1
Bali,281.79,139,34.41,85.65,0.868,135,238.68,1.19,0
Sulawesi Selatan,239.81,112,41.36,84.58,0.716,116,114.72,0.57,1
Sulawesi Selatan,340.19,127,26.16,57.26,0.546,139,318.78,1.59,1
Sulawesi Selatan,33.58,141,23.42,53.68,0.819,151,24.09,0.12,0
Sumatera Utara,247.93,124,56.18,68.44,0.699,103,113.58,0.57,1
Jawa Tengah,30.23,123,25.25,61.8,0.898,101,25.99,0.13,0
Bali,28.93,120,42.7,64.98,0.582,103,13.01,0.07,1
Bali,61.6,129,41.37,66.78,0.689,114,63.66,0.32,0
Sulawesi Selatan,36.78,127,49.1,69.46,0.778,134,25.56,0.13,0
Riau,206.4,142,15.1,75.41,0.771,141,133.93,0.67,1
Jawa Barat,25.03,128,45.69,50.46,0.879,138,15.13,0.08,0
Sumatera Utara,248.66,152,34.3,64.6,0.74,140,172.18,0.86,0
Banten,62.27,126,27.8,62.95,0.75,116,56.53,0.28,0
Bali,252.2,126,31.99,61.57,0.515,111,186.15,0.93,0
Jawa Timur,118.32,129,47.44,88.64,0.861,120,96.81,0.48,0
Jawa Timur,170.69,150,43.77,62.31,0.624,155,74.64,0.37,1
DKI Jakarta,18.64,163,33.46,57.4,0.932,164,17.78,0.09,0
Bali,226.93,123,21.33,91.74,0.777,127,168.71,0.84,1
Sumatera Selatan,76.33,130,22.18,68.76,0.591,136,56.52,0.28,0
DKI Jakarta,34.59,125,44.04,59.02,0.405,100,19.51,0.1,1
Banten,72.0,122,19.67,86.81,0.779,106,32.42,0.16,0
Banten,87.57,145,33.58,82.2,0.779,144,54.15,0.27,0
Banten,54.74,127,67.17,96.32,0.833,118,51.02,0.26,0
Sulawesi Selatan,121.08,118,40.51,93.01,0.696,98,91.49,0.46,0
Jawa Barat,263.07,131,43.91,84.02,0.963,107,150.3,0.75,0
Jawa Timur,97.58,145,22.27,57.89,0.875,157,76.65,0.38,0
Jawa Barat,35.54,158,20.27,73.68,0.94,166,22.33,0.11,0
Jawa Tengah,91.62,121,44.55,55.82,0.63,108,49.97,0.25,0
Sulawesi Selatan,65.63,148,31.61,76.92,0.808,146,57.81,0.29,0
Sulawesi Selatan,25.46,117,49.08,94.92,0.716,98,12.95,0.06,0
DKI Jakarta,46.02,141,36.72,50.19,0.557,118,35.91,0.18,0
Riau,80.66,127,77.68,92.92,0.531,114,70.73,0.35,0
Jawa Tengah,142.11,137,29.33,76.43,0.558,121,62.54,0.31,0
Jawa Barat,309.8,130,39.67,57.41,0.823,142,264.01,1.32,0
Jawa Tengah,16.3,134,25.47,91.94,0.545,108,6.64,0.03,1
Jawa Barat,39.62,133,48.58,76.31,0.615,128,36.76,0.18,0
Banten,51.94,135,41.49,71.96,0.843,142,30.17,0.15,1
Sulawesi Selatan,260.94,117,24.67,74.49,0.93,94,130.44,0.65,1
Sumatera Utara,118.79,118,32.39,57.22,0.399,114,57.58,0.29,1
Sumatera Selatan,62.45,132,52.66,55.52,0.864,120,42.66,0.21,0
Banten,83.31,145,51.22,82.42,0.772,125,48.93,0.24,0
DKI Jakarta,123.07,132,19.23,93.14,0.678,114,86.73,0.43,0
DKI Jakarta,50.14,129,30.61,84.03,0.656,134,47.62,0.24,0
Jawa Tengah,265.37,133,58.06,91.2,0.606,124,124.26,0.62,1
Jawa Tengah,244.13,134,34.19,91.39,0.955,109,138.99,0.69,0
Bali,119.94,121,38.4,51.57,0.594,111,56.81,0.28,1
Bali,379.08,148,48.52,87.78,0.563,154,308.61,1.54,0
Bali,12.84,145,20.21,87.83,0.456,145,10.33,0.05,0
Riau,560.84,152,24.92,67.15,0.929,165,533.65,2.67,0
Sumatera Utara,660.67,152,32.32,70.08,0.825,156,577.55,2.89,1
Riau,35.82,139,50.66,86.53,0.785,118,30.61,0.15,0
Banten,60.01,171,48.44,98.34,0.667,140,30.26,0.15,1
Riau,92.53,157,44.84,98.4,0.49,147,86.28,0.43,0
Sumatera Selatan,27.4,144,34.53,73.22,0.802,134,11.09,0.06,1
Sumatera Selatan,150.94,134,49.75,88.69,0.75,129,130.52,0.65,0
Riau,45.82,144,34.37,72.84,0.889,144,42.59,0.21,0
DKI Jakarta,158.38,132,43.14,92.43,0.862,115,86.68,0.43,1
Sumatera Selatan,123.97,140,47.14,81.84,0.529,153,74.71,0.37,0
Jawa Timur,107.69,138,56.56,95.9,0.924,130,60.02,0.3,0
Sumatera Selatan,35.7,137,35.52,98.86,0.758,138,33.3,0.17,0
Sumatera Utara,77.05,139,31.85,66.18,0.807,128,51.9,0.26,0
Bali,238.02,133,51.74,97.99,0.418,133,151.44,0.76,1
Jawa Timur,294.04,138,52.66,83.93,0.63,151,213.61,1.07,1
Sulawesi Selatan,28.57,122,29.68,61.67,0.71,103,24.99,0.12,0
Bali,22.06,130,22.94,50.15,0.783,121,18.29,0.09,0
Jawa Timur,87.8,123,50.83,83.51,0.599,124,75.52,0.38,0
Banten,26.56,141,16.5,60.9,0.997,149,26.98,0.13,0
Sumatera Utara,288.39,124,15.89,61.34,0.688,122,163.18,0.82,1
Sumatera Selatan,303.83,136,32.98,77.06,0.677,118,162.39,0.81,0
Riau,209.19,143,36.23,51.52,0.905,142,172.04,0.86,0
Bali,79.53,126,22.28,70.4,0.832,124,39.36,0.2,0
Jawa Timur,26.76,135,37.66,89.17,0.621,109,21.9,0.11,0
Sumatera Utara,15.98,121,38.2,51.34,0.812,118,16.32,0.08,0
Banten,183.45,153,29.24,80.57,0.599,146,128.05,0.64,0
Sulawesi Selatan,168.58,134,59.4,57.76,0.913,118,90.96,0.45,0
Jawa Timur,66.68,130,40.16,92.28,0.725,113,69.79,0.35,0
Sumatera Utara,169.51,129,48.54,69.14,0.785,132,110.0,0.55,1
Jawa Barat,138.45,119,17.53,89.79,0.43,97,65.63,0.33,1
Bali,23.27,135,17.42,85.47,0.832,119,15.6,0.08,0
Jawa Timur,53.17,121,40.52,93.01,0.61,122,24.3,0.12,1
Jawa Timur,189.31,138,57.26,75.33,0.734,119,85.96,0.43,1
Sumatera Utara,110.85,124,22.88,73.82,0.776,103,47.76,0.24,0
Banten,278.96,133,36.72,51.83,0.945,145,193.94,0.97,0
Bali,83.27,113,20.18,76.16,0.825,109,58.15,0.29,0
Sumatera Utara,383.68,139,26.38,75.58,0.754,122,336.38,1.68,0
Sumatera Utara,259.18,121,37.32,79.71,0.923,102,195.34,0.98,0
Jawa Barat,296.24,124,29.09,56.42,0.366,99,284.12,1.42,0
DKI Jakarta,156.71,131,19.33,76.46,0.412,134,151.6,0.76,0
Jawa Timur,25.04,142,19.06,72.25,0.342,128,12.8,0.06,1
Sulawesi Selatan,61.66,135,12.37,79.2,0.846,115,26.32,0.13,0
Sulawesi Selatan,494.59,136,40.72,82.37,0.806,145,424.91,2.12,0
Riau,54.95,132,42.17,67.71,0.987,133,22.34,0.11,0
Riau,143.72,150,42.11,74.7,0.569,156,94.28,0.47,0
Jawa Timur,344.8,129,24.09,69.36,0.88,128,150.02,0.75,1
Jawa Barat,315.64,136,47.07,87.51,0.887,146,220.4,1.1,0
DKI Jakarta,246.12,114,43.48,89.02,0.806,102,170.39,0.85,0
Jawa Timur,262.21,124,35.09,64.35,0.497,105,249.03,1.25,0
Jawa Timur,211.79,148,33.12,62.72,0.627,118,173.59,0.87,0
Jawa Barat,233.36,121,27.21,83.24,0.787,98,154.4,0.77,0
Jawa Tengah,98.73,142,37.31,87.93,0.929,149,72.18,0.36,0
DKI Jakarta,228.34,120,54.41,50.53,0.948,118,172.84,0.86,0
Riau,99.48,137,48.65,70.94,0.604,111,54.42,0.27,1
Sulawesi Selatan,333.93,139,31.93,65.08,0.695,115,301.87,1.51,0
Riau,102.06,146,41.46,87.56,0.98,147,71.81,0.36,0
Banten,234.11,121,21.78,57.03,0.502,110,190.71,0.95,0
Banten,116.81,124,43.76,88.13,0.685,128,49.14,0.25,1
Jawa Timur,27.55,134,25.03,82.41,0.562,144,13.01,0.07,1
Jawa Barat,472.73,144,43.28,91.3,0.522,147,370.24,1.85,1
Sumatera Utara,79.32,111,70.63,98.52,0.841,94,70.1,0.35,0
Sumatera Utara,58.19,130,28.16,73.35,0.615,129,35.41,0.18,1
DKI Jakarta,22.51,137,70.07,84.27,0.805,134,22.85,0.11,0
Banten,100.2,136,40.89,84.79,0.712,143,95.4,0.48,0
Jawa Tengah,92.78,136,26.0,91.38,0.602,116,68.74,0.34,1
Jawa Barat,355.46,130,25.45,75.39,0.846,132,290.03,1.45,0
Sumatera Selatan,212.76,130,63.38,55.27,0.7,127,167.13,0.84,0
Sumatera Utara,37.94,146,40.92,97.99,0.515,137,22.71,0.11,1
Riau,86.43,138,28.21,52.79,0.924,122,38.09,0.19,0
Sumatera Selatan,143.92,141,32.56,97.16,0.89,113,132.84,0.66,0
Sulawesi Selatan,400.61,108,40.17,62.51,0.897,112,280.17,1.4,1
Bali,17.67,136,34.9,74.13,0.693,113,16.74,0.08,0
Riau,74.37,141,39.15,96.58,0.866,128,47.86,0.24,0
Bali,44.23,114,56.28,83.16,0.915,108,18.1,0.09,0
Banten,127.87,142,21.46,78.69,0.679,127,61.7,0.31,1
Sulawesi Selatan,120.41,142,42.74,65.97,0.788,141,60.47,0.3,1
Sumatera Selatan,205.39,129,34.13,64.33,0.78,115,179.74,0.9,0
Riau,112.95,120,29.01,51.61,0.739,114,47.54,0.24,0
Sulawesi Selatan,143.3,137,47.87,78.73,0.683,113,133.64,0.67,0
Sumatera Utara,128.68,140,17.46,71.07,0.344,130,109.24,0.55,0
Sumatera Selatan,31.25,131,6.6,60.99,0.901,127,19.06,0.1,0
Jawa Tengah,50.43,130,37.69,68.83,0.732,137,37.29,0.19,0
Sulawesi Selatan,57.92,137,33.34,96.11,0.853,117,58.26,0.29,0
Riau,822.71,132,18.77,91.57,0.653,119,366.38,1.83,1
Sumatera Selatan,26.88,111,14.47,71.09,0.503,97,17.1,0.09,0
Banten,35.24,139,58.17,98.02,0.365,117,23.05,0.12,1
Bali,12.7,127,40.56,72.64,0.667,116,13.03,0.07,0
DKI Jakarta,113.68,141,35.24,67.11,0.894,151,117.53,0.59,0
Jawa Barat,221.8,131,61.34,69.01,0.842,119,210.02,1.05,0
Sumatera Utara,203.37,141,47.26,92.86,0.843,124,131.85,0.66,0
Sumatera Selatan,127.77,145,56.23,63.12,0.687,157,124.97,0.62,0
Bali,131.51,129,20.84,60.88,0.534,130,93.98,0.47,0
Banten,100.55,133,20.39,97.07,0.67,121,82.31,0.41,0
Riau,120.47,151,42.4,85.98,0.757,154,120.85,0.6,0
Sumatera Utara,181.83,112,39.97,87.43,0.769,111,102.05,0.51,1
Sulawesi Selatan,705.11,145,50.0,86.27,0.757,153,676.56,3.38,0
Riau,357.14,133,15.43,83.46,0.578,110,235.54,1.18,1
Banten,270.17,121,43.44,54.47,0.827,116,261.06,1.31,0
Sulawesi Selatan,364.22,130,46.87,86.93,0.733,131,275.52,1.38,0
Jawa Barat,30.81,144,46.23,62.2,0.397,158,17.28,0.09,1
Sulawesi Selatan,272.25,153,30.12,56.49,0.76,150,244.37,1.22,0
Jawa Barat,391.82,132,41.22,98.17,0.686,111,186.05,0.93,1
Jawa Tengah,20.74,129,25.69,51.37,0.853,140,10.23,0.05,0
Bali,67.3,138,31.48,51.55,0.311,129,33.4,0.17,1
Sumatera Selatan,221.67,129,22.48,65.19,0.562,122,209.74,1.05,0
Sulawesi Selatan,55.47,114,25.9,91.37,0.956,99,53.6,0.27,0
Sumatera Selatan,60.56,129,32.11,97.92,0.412,134,46.76,0.23,0
Riau,235.58,131,29.11,55.81,0.611,125,137.01,0.69,1
Jawa Timur,229.55,138,25.89,69.38,0.883,150,150.64,0.75,0
DKI Jakarta,26.99,167,19.4,85.98,0.668,159,14.02,0.07,1
Jawa Barat,82.52,134,58.53,81.63,0.76,114,33.21,0.17,1
Jawa Tengah,85.59,143,28.99,61.44,0.852,147,80.95,0.4,0
DKI Jakarta,32.11,130,38.96,66.13,0.784,109,16.91,0.08,0
Sumatera Utara,58.36,131,13.89,79.12,0.778,115,26.34,0.13,1
Sumatera Selatan,14.92,131,51.29,51.73,0.656,141,7.25,0.04,1
Sulawesi Selatan,59.71,148,37.01,87.15,0.903,161,59.82,0.3,0
Banten,98.23,142,29.67,63.49,0.889,146,62.49,0.31,0
Bali,70.63,117,29.78,90.59,0.555,100,58.01,0.29,0
Sulawesi Selatan,237.87,141,45.43,83.5,0.861,144,99.99,0.5,0
Bali,242.62,121,5.0,81.63,0.863,118,180.49,0.9,1
Banten,134.11,118,25.11,87.6,0.764,110,118.73,0.59,0
Jawa Timur,64.52,128,33.57,53.68,0.752,119,28.56,0.14,1
Sulawesi Selatan,16.39,142,33.43,62.74,0.796,132,9.74,0.05,0
Jawa Tengah,31.68,130,65.06,75.57,0.86,116,19.3,0.1,0
Banten,231.88,134,30.95,88.08,0.744,128,226.49,1.13,0
DKI Jakarta,21.85,138,46.88,91.6,0.839,111,18.19,0.09,0
Sumatera Selatan,16.29,111,56.74,68.72,0.704,117,15.68,0.08,0
Riau,84.73,135,43.05,88.89,0.492,144,54.57,0.27,1
DKI Jakarta,287.51,136,26.91,60.79,0.582,124,225.48,1.13,0
Jawa Tengah,179.89,148,19.59,54.04,0.418,160,132.49,0.66,0
Sumatera Utara,269.99,126,43.95,62.08,0.788,130,156.45,0.78,1
Sumatera Utara,75.47,144,54.74,94.25,0.535,151,50.91,0.25,0
Bali,107.31,126,41.55,76.66,0.685,134,60.01,0.3,0
Jawa Tengah,89.92,143,49.8,73.59,0.527,128,36.92,0.18,1
Sulawesi Selatan,186.1,123,66.1,86.42,0.837,128,191.55,0.96,0
Banten,90.35,130,45.05,50.49,0.818,109,92.41,0.46,0
Bali,203.73,118,21.79,55.8,0.626,128,190.64,0.95,0
Jawa Tengah,82.61,124,35.61,54.88,0.858,121,42.42,0.21,0
DKI Jakarta,71.64,141,51.44,55.96,0.583,142,29.6,0.15,1
DKI Jakarta,121.97,131,32.01,72.22,0.584,116,64.32,0.32,1
Jawa Timur,46.66,142,53.07,63.75,0.56,114,45.1,0.23,0
Sulawesi Selatan,1107.07,136,34.2,88.5,0.705,115,553.07,2.77,1
DKI Jakarta,115.8,115,39.01,91.11,0.774,96,63.9,0.32,0
Jawa Timur,130.95,142,30.79,95.32,0.733,132,111.22,0.56,0
Jawa Barat,127.41,134,36.91,59.61,0.82,118,90.51,0.45,0
Sulawesi Selatan,13.98,140,37.55,74.64,0.824,151,11.53,0.06,0
Riau,139.78,130,15.7,52.39,0.89,136,107.07,0.54,0
Sumatera Selatan,211.74,144,29.7,61.76,0.83,138,163.49,0.82,0
Sumatera Selatan,117.48,145,20.2,80.14,0.884,153,113.63,0.57,0
Riau,139.12,133,30.11,70.7,0.78,129,75.34,0.38,1
Sumatera Selatan,119.07,146,25.46,83.84,0.597,157,58.4,0.29,1
DKI Jakarta,237.65,132,47.14,91.12,0.789,135,157.6,0.79,1
Bali,80.1,122,47.28,52.92,0.712,124,59.87,0.3,0
Sumatera Selatan,63.21,116,41.72,95.99,0.842,102,45.43,0.23,0
Sumatera Selatan,96.68,135,19.79,52.08,0.924,140,72.59,0.36,0
Jawa Timur,122.58,145,33.82,98.1,0.853,149,87.77,0.44,0
Bali,100.63,129,18.83,81.24,0.821,106,74.13,0.37,0
Jawa Timur,105.17,137,33.23,52.12,0.527,111,105.78,0.53,0
DKI Jakarta,139.83,134,42.77,69.29,0.559,142,60.46,0.3,1
Sulawesi Selatan,13.85,138,46.91,62.65,0.587,150,14.02,0.07,0
Jawa Tengah,574.7,130,40.67,89.13,0.584,127,449.23,2.25,1
Jawa Barat,100.96,120,50.1,61.05,0.936,102,43.52,0.22,0
Riau,126.99,125,38.12,90.48,0.882,115,55.21,0.28,0
Jawa Tengah,240.83,141,32.2,65.3,0.631,113,185.8,0.93,0
Bali,96.7,134,45.48,98.47,0.86,140,81.99,0.41,0
Banten,162.37,125,45.88,63.25,0.805,103,119.86,0.6,0
DKI Jakarta,529.13,136,28.71,83.56,0.642,122,366.03,1.83,1
Sulawesi Selatan,136.41,148,39.55,89.21,0.775,143,79.13,0.4,0
Sumatera Utara,269.09,131,31.47,60.61,0.66,132,213.73,1.07,0
Jawa Tengah,188.08,128,10.9,53.71,0.727,137,184.96,0.92,0
Riau,98.81,128,40.28,77.01,0.928,118,66.65,0.33,0
Sumatera Utara,112.52,142,19.47,83.18,0.353,121,95.89,0.48,0
DKI Jakarta,39.91,143,38.94,90.05,0.925,119,16.41,0.08,1
Sumatera Selatan,133.77,132,16.58,63.37,0.667,131,92.63,0.46,1
Banten,103.27,144,26.36,92.74,0.782,120,92.44,0.46,0
Riau,86.63,119,29.8,94.87,0.851,118,82.06,0.41,0
Bali,40.86,124,49.42,88.18,0.706,116,30.61,0.15,0
Riau,106.33,120,28.6,50.37,0.725,110,81.69,0.41,0
Riau,350.66,131,22.1,54.27,0.765,115,171.82,0.86,0
Jawa Tengah,39.99,131,39.37,98.89,0.744,140,23.67,0.12,0
Jawa Tengah,120.82,149,32.4,85.96,0.787,151,100.74,0.5,0
Banten,55.09,138,44.49,80.71,0.759,132,49.5,0.25,0
Bali,67.86,144,22.86,94.17,0.495,133,30.76,0.15,0
Sumatera Utara,14.97,125,37.53,51.94,0.761,113,15.34,0.08,0
Jawa Timur,311.25,130,64.63,87.11,0.885,119,317.42,1.59,0
Sumatera Selatan,28.37,142,32.13,82.08,0.779,149,14.81,0.07,0
Bali,120.66,125,37.24,91.56,0.391,115,51.81,0.26,1
Sulawesi Selatan,124.67,135,15.07,88.12,0.746,108,77.51,0.39,0
Jawa Tengah,156.63,127,24.76,73.76,0.477,136,160.25,0.8,0
Sumatera Selatan,37.0,131,40.52,53.48,0.835,128,25.46,0.13,0
Sumatera Utara,243.1,131,31.04,94.56,0.615,111,146.81,0.73,0
Banten,77.3,136,42.37,87.41,0.795,113,75.87,0.38,0
Jawa Timur,96.07,146,40.1,67.46,0.615,133,46.81,0.23,1
Jawa Barat,33.41,118,19.18,98.21,0.484,116,33.8,0.17,0
Jawa Tengah,41.22,143,47.18,65.24,0.575,154,38.16,0.19,0
Sumatera Utara,18.46,165,20.09,68.16,0.695,134,11.98,0.06,0
Bali,10.37,134,25.82,97.76,0.768,121,9.45,0.05,0
Bali,307.5,126,37.75,82.74,0.962,110,274.13,1.37,0
Jawa Barat,14.97,146,53.8,93.08,0.872,135,11.63,0.06,0
Riau,99.85,123,22.95,93.5,0.93,127,90.65,0.45,0
DKI Jakarta,367.2,110,36.77,76.29,0.429,93,266.24,1.33,1
Riau,105.95,135,36.87,63.08,0.765,145,100.39,0.5,0
Jawa Timur,32.74,125,42.89,91.52,0.597,109,29.98,0.15,0
Banten,380.19,153,49.21,74.59,0.919,156,376.05,1.88,0
Sumatera Selatan,199.37,135,30.15,77.65,0.567,133,183.1,0.92,1
Banten,12.85,139,47.14,76.53,0.581,134,12.83,0.06,0
Bali,237.41,112,50.96,50.47,0.397,117,122.46,0.61,1
Sumatera Utara,192.31,140,56.41,52.25,0.845,137,111.59,0.56,0
Sulawesi Selatan,283.61,127,41.02,80.2,0.57,131,196.86,0.98,1
Riau,168.3,116,36.89,88.93,0.887,113,93.88,0.47,0
Jawa Tengah,44.37,130,29.3,72.39,0.847,132,43.61,0.22,0
Sumatera Selatan,171.26,137,17.49,59.33,0.652,111,88.52,0.44,1
Banten,198.08,133,31.66,69.93,0.828,132,138.32,0.69,0
Sumatera Utara,253.77,130,36.35,87.65,0.693,138,187.56,0.94,1
Jawa Barat,85.84,105,33.69,55.32,0.89,104,83.05,0.42,0
Jawa Barat,96.36,138,42.17,77.45,0.934,144,54.78,0.27,0
Sumatera Utara,123.42,113,17.55,84.41,0.63,123,127.15,0.64,0
Jawa Barat,112.51,139,32.82,70.38,0.324,117,66.35,0.33,1
Sulawesi Selatan,96.79,139,58.94,79.46,0.472,139,48.97,0.24,1
Bali,59.28,136,46.95,93.29,0.606,145,33.48,0.17,0
Sumatera Selatan,35.27,143,42.39,60.43,0.78,115,34.3,0.17,0
Sumatera Selatan,170.17,149,39.69,56.62,0.824,126,84.93,0.42,1
